name,msg,time,link,length,expmsg
alexg,Re: милитари баланс,2000-12-11 18:48:18,https://vif2ne.org/nvk/forum/archive/words/39800?text=,1.68K,"Просьба сбросить сабж в копилу..."""
Чингизид,Re: милитари баланс,2000-11-23 15:54:20,https://vif2ne.org/nvk/forum/archive/words/42709?text=,1.94K,"Приветствую !>Просьба сбросить сабж в копилуВесь невозможно технически - за Россию отвеч..."""
Banzay,Питерскому ВИФу а 9 мая отпразновать? (-),2001-04-13 14:35:48,https://vif2ne.org/nvk/forum/archive/words/92968?text=,3.23K,"..."""
SlowHead,Что за аппарат?,2001-04-13 17:09:21,https://vif2ne.org/nvk/forum/archive/words/92571?text=,2.87K,"Доброго времени суток!Yak4-2-dead.jpg в копилке не Яковлевский ли ББ-22? Может кто подскажет?С уважением, SlowHe..."""
Pavel,Он самый(-),2001-04-13 17:12:43,https://vif2ne.org/nvk/forum/archive/words/92572?text=,2.60K,"..."""
Роман (rvb),"Точнее, его поздняя модификация - Як-4",2001-04-13 17:14:35,https://vif2ne.org/nvk/forum/archive/words/92573?text=,1.87K,"Отличалась компоновкой - кабина штурмана-стрелка перенесена непосредственно за кабину летчика. Движки М-105. Была неплохая стать..."""
SlowHead,Что за фотка? Где снималась? Когда?,2001-04-13 17:14:49,https://vif2ne.org/nvk/forum/archive/words/92574?text=,2.41K,"У к.л. есть информация поподробней?..."""
Роман (rvb),Вот что нашел:,2001-04-13 17:18:16,https://vif2ne.org/nvk/forum/archive/words/92575?text=,1.73K,"Та самая статья (АиВ 4-96), стр. 10:под фотографией подпись: поврежденный Як-4 314-го РАП на аэродроме Бобруйск...."""
И. Кошкин,Во фронтовой Иллюстрации...(+),2001-04-13 17:28:39,https://vif2ne.org/nvk/forum/archive/words/92576?text=,2.48K,"Я вас приветствую! Хррр. Хрррр. Ххуррагх!>У к.л. есть информация поподробней?""операция Б..."""
Роман (rvb),Re: Во фронтовой,2001-04-13 17:30:47,https://vif2ne.org/nvk/forum/archive/words/92577?text=,2.05K,"Уже две версии есть. Кто больше?Мда... Интересно, хоть одна из них истине соответствует?S.Y. Roman..."""
Николай Поникаров,"Нас мало, но мы в тельняшках! :)) (-)",2001-04-13 21:38:28,https://vif2ne.org/nvk/forum/archive/words/92970?text=,2.98K,"..."""
М.Свирин,"Во ""Фронтовой иллюстрации"" очень вольно к подписям относятся. Я бы верил другим. (-)",2001-04-14 03:10:38,https://vif2ne.org/nvk/forum/archive/words/92579?text=,1.86K,"..."""
Петров Борис,А в костюме с галстуком можна?   :))) (-),2001-04-16 12:59:23,https://vif2ne.org/nvk/forum/archive/words/92971?text=,1.77K,"..."""
Коля-Анархия,А с чего мало??? человек 20-30 будет... (-),2001-04-16 18:01:02,https://vif2ne.org/nvk/forum/archive/words/92972?text=,2.70K,"..."""
